Date,Avg,Low,High
"	2012-09-01",25.2,22.3,29.4
"	2012-09-02",25,20.8,29.5
"	2012-09-03",24.9,22.2,28.5
"	2012-09-04",22,19.7,24.4
"	2012-09-05",22.3,19.2,26.1
"	2012-09-06",21.6,16,27.1
"	2012-09-07",22.5,16.9,27.2
"	2012-09-08",20.2,17.7,23.7
"	2012-09-09",20.9,17.1,25
"	2012-09-10",23.2,17.8,28.3
"	2012-09-11",22.8,18.1,27.5
"	2012-09-12",21.6,19.6,24.8
"	2012-09-13",20,18.6,21.1
"	2012-09-14",19.4,17.3,21.8
"	2012-09-15",21,17,25.5
"	2012-09-16",19.9,17.5,22.1
"	2012-09-17",17.3,16,18.4
"	2012-09-18",20.9,17.7,24.6
"	2012-09-19",20.6,17.7,25.2
"	2012-09-20",20.1,15.6,24.7
"	2012-09-21",20.1,17.2,24.3
"	2012-09-22",20.7,15.2,26.4
"	2012-09-23",21.2,16.4,26.6
"	2012-09-24",21.5,16.1,27.5
"	2012-09-25",21.8,16.9,27.8
"	2012-09-26",21.3,17.5,25.4
"	2012-09-27",20.3,17.7,23.6
"	2012-09-28",18,15.4,22
"	2012-09-29",16.4,14,19.8
"	2012-09-30",16.2,12,21
"	2012-10-01",18.1,12.5,24.6
"	2012-10-02",19.3,14.3,24.9
"	2012-10-03",19.9,15,26
"	2012-10-04",19,14.4,24.2
"	2012-10-05",19,14.9,22.8
"	2012-10-06",19.6,16.1,24.5
"	2012-10-07",19.2,15.1,24.4
"	2012-10-08",18.4,14.6,23.4
"	2012-10-09",17.6,13.8,22.4
"	2012-10-10",15.7,12.6,20.3
"	2012-10-11",13.9,9.9,19
"	2012-10-12",14.9,8.5,21.4
"	2012-10-13",16.4,11.3,23.1
"	2012-10-14",16.3,12,21.8
"	2012-10-15",14.8,10.3,21.8
"	2012-10-16",17.1,10.8,23.4
"	2012-10-17",12.6,8.1,17.6
"	2012-10-18",11.6,6,17
"	2012-10-19",14.8,10.3,20.1
"	2012-10-20",15.8,10.5,21
"	2012-10-21",18.3,15.4,23.7
"	2012-10-22",13.4,8.5,17.1
"	2012-10-23",10,4.5,14.5
"	2012-10-24",13.2,9.5,18.4
"	2012-10-25",15.2,12.6,20
"	2012-10-26",15.9,11.1,22.3
"	2012-10-27",14.3,12.5,16.4
"	2012-10-28",14.3,10.8,18.8
"	2012-10-29",11.7,8,16.7
"	2012-10-30",8.6,5.8,12.4
"	2012-10-31",6.9,2.8,11.6
"	2012-11-01",5.6,2.7,10
"	2012-11-02",7.2,1.6,12.4
"	2012-11-03",9.4,3.2,15.7
"	2012-11-04",11.8,9.1,15.3
"	2012-11-05",8.5,7.2,10.7
"	2012-11-06",7.1,5.1,8.6
"	2012-11-07",8.4,4.1,12.5
"	2012-11-08",8.8,6,12.6
"	2012-11-09",9.4,4.4,15
"	2012-11-10",12,9.2,14.7
"	2012-11-11",8.7,3.6,12
"	2012-11-12",7.3,5.8,9.1
"	2012-11-13",5.3,1.7,9.1
"	2012-11-14",2.4,-0.6,6.7
"	2012-11-15",4.2,-0.3,9.8
"	2012-11-16",4.9,1,8.2
"	2012-11-17",5.3,1.5,8
"	2012-11-18",3.5,-0.5,8.4
"	2012-11-19",3.4,-0.5,7.6
"	2012-11-20",1.9,-1.8,6.4
"	2012-11-21",4.1,-0.4,8.4
"	2012-11-22",6.7,1.9,10.5
"	2012-11-23",3.3,0.3,6.9
"	2012-11-24",1.7,-1.8,6.7
"	2012-11-25",3.4,-0.7,7.5
"	2012-11-26",2.3,-1.2,5.1
"	2012-11-27",2.1,-2.8,6.5
"	2012-11-28",5,-0.1,10.2
"	2012-11-29",0.8,-1.9,4.7
"	2012-11-30",1.7,-3,6.2
