Date,Avg,Low,High
"	2016-09-01",23.2,15.8,28.6
"	2016-09-02",24.2,20.6,29
"	2016-09-03",23.9,20.4,28.6
"	2016-09-04",25.6,22.1,29.6
"	2016-09-05",26.4,23,31.1
"	2016-09-06",24.7,21,29
"	2016-09-07",24.3,20.9,28.6
"	2016-09-08",23,21.5,26.5
"	2016-09-09",23.9,19.7,29.3
"	2016-09-10",24.4,20,29.1
"	2016-09-11",24.5,22.1,28.2
"	2016-09-12",23.4,21.4,27.5
"	2016-09-13",24.6,19.6,30.8
"	2016-09-14",24.6,21.4,28.9
"	2016-09-15",23.9,18.8,29.5
"	2016-09-16",24.6,20.4,29.5
"	2016-09-17",23.1,18.5,28.2
"	2016-09-18",23.5,20.2,28.3
"	2016-09-19",21.9,18.2,27.8
"	2016-09-20",20.6,15.4,26.8
"	2016-09-21",20.2,14.3,25.3
"	2016-09-22",21.9,17.5,27.2
"	2016-09-23",21.4,16.4,27.9
"	2016-09-24",22.3,16.5,28.9
"	2016-09-25",23,18.6,29.7
"	2016-09-26",23.6,19.7,28.9
"	2016-09-27",21,19.1,23.8
"	2016-09-28",19.9,18.7,21.8
"	2016-09-29",20.4,18.2,24.8
"	2016-09-30",20.5,17.7,23.5
"	2016-10-01",21.1,17.5,25.6
"	2016-10-02",19,16.7,22.4
"	2016-10-03",22.7,19.6,27.9
"	2016-10-04",22,15.6,29
"	2016-10-05",21.1,17.5,27.2
"	2016-10-06",18,13.6,23.5
"	2016-10-07",19.7,16.5,24.8
"	2016-10-08",16.8,10.3,21.8
"	2016-10-09",11.3,6.5,16.6
"	2016-10-10",14,7.4,21.4
"	2016-10-11",15.4,10,21.1
"	2016-10-12",15.5,11.4,20.7
"	2016-10-13",15.2,9.3,21.9
"	2016-10-14",16.7,10.5,23.5
"	2016-10-15",19.1,12.4,27.1
"	2016-10-16",17.2,15.4,19.5
"	2016-10-17",17.5,14.5,21.7
"	2016-10-18",17,11.2,24
"	2016-10-19",18,14,24.3
"	2016-10-20",18.6,12.9,25.8
"	2016-10-21",17.9,15.7,22
"	2016-10-22",18.3,14.5,22.8
"	2016-10-23",13.3,10.6,17.8
"	2016-10-24",15.1,9,20.6
"	2016-10-25",14.1,12.5,17.5
"	2016-10-26",13.3,10.5,16.3
"	2016-10-27",14.6,8.6,20.9
"	2016-10-28",14.6,10.2,18.4
"	2016-10-29",7.8,3.5,11.2
"	2016-10-30",7.9,1.6,15.1
"	2016-10-31",5.7,0.7,8.2
"	2016-11-01",1.5,-2.4,6.6
"	2016-11-02",4.1,-2.7,10.5
"	2016-11-03",9.1,4.2,14.1
"	2016-11-04",12.3,8.2,15.7
"	2016-11-05",15,12.2,18.1
"	2016-11-06",14,11.9,18.3
"	2016-11-07",12.8,8.5,17.8
"	2016-11-08",4.1,0.4,8.4
"	2016-11-09",2.1,-3.2,8.6
"	2016-11-10",6,1.5,9.8
"	2016-11-11",9.1,6.2,14.2
"	2016-11-12",11.4,5.1,16.7
"	2016-11-13",14.4,12.1,18.1
"	2016-11-14",13.2,10.2,15.8
"	2016-11-15",5.2,2.5,10.2
"	2016-11-16",5.2,0,12
"	2016-11-17",9.1,4,16.5
"	2016-11-18",10.3,4.9,14.6
"	2016-11-19",13,9.9,18.6
"	2016-11-20",9.8,6.4,15.3
"	2016-11-21",9.5,5.1,14.6
"	2016-11-22",2,-2.1,8.4
"	2016-11-23",-1.8,-4.8,3.6
"	2016-11-24",-2.5,-6.2,2.4
"	2016-11-25",1,-3.5,6
"	2016-11-26",0.9,-0.7,2.7
"	2016-11-27",3.3,0.5,6.6
"	2016-11-28",1.4,-1.4,5.6
"	2016-11-29",1.7,-2.8,8.6
"	2016-11-30",6,0.7,9.8
