Date,Avg,Low,High
"	2018-09-01",25.5,20.8,30.9
"	2018-09-02",25.1,20.1,29.6
"	2018-09-03",23.3,21.4,25.8
"	2018-09-04",23.2,20,27.8
"	2018-09-05",24,19.6,28.5
"	2018-09-06",24.1,20.9,28.2
"	2018-09-07",22,19.1,25.5
"	2018-09-08",21.7,15.9,27.7
"	2018-09-09",22.2,15.6,28.9
"	2018-09-10",22.9,18.6,28.4
"	2018-09-11",21.6,16.8,26.1
"	2018-09-12",22.8,16.8,28.2
"	2018-09-13",23.5,20.3,28.3
"	2018-09-14",23.5,20.3,26.8
"	2018-09-15",23.3,21,26
"	2018-09-16",22.2,21,23.9
"	2018-09-17",22.3,18.5,27.7
"	2018-09-18",22,17.7,26.5
"	2018-09-19",22.1,18.9,26.6
"	2018-09-20",19,17.8,20.1
"	2018-09-21",19.4,17.6,21.9
"	2018-09-22",20.8,17.2,25.5
"	2018-09-23",19.4,15.6,25.3
"	2018-09-24",17.6,14.2,22.1
"	2018-09-25",17.8,10.8,24.3
"	2018-09-26",19.4,16.2,24.8
"	2018-09-27",18.9,13.2,25
"	2018-09-28",17.5,14.3,22.2
"	2018-09-29",20.2,14.6,27
"	2018-09-30",17.6,14,21.6
"	2018-10-01",15.4,13,19.7
"	2018-10-02",15.9,10.3,22
"	2018-10-03",17.3,11.2,24.2
"	2018-10-04",19.3,13,25.6
"	2018-10-05",16.9,15.7,19
"	2018-10-06",18,16.3,21.7
"	2018-10-07",16.4,12.3,21.1
"	2018-10-08",14.8,9.2,20.9
"	2018-10-09",15.3,10.7,19.8
"	2018-10-10",12,7.9,16.7
"	2018-10-11",9.7,6.1,13.9
"	2018-10-12",10.9,5.2,17.4
"	2018-10-13",12.5,6.1,19.8
"	2018-10-14",13.2,6.8,20.3
"	2018-10-15",15.2,10.9,21
"	2018-10-16",14.5,9.9,20.3
"	2018-10-17",12.4,8.4,18.6
"	2018-10-18",12.7,7.5,19
"	2018-10-19",13.1,7.2,20.4
"	2018-10-20",13.4,6.9,21.4
"	2018-10-21",13.4,7.2,21.1
"	2018-10-22",14,8.8,20.6
"	2018-10-23",12.2,9.8,16.9
"	2018-10-24",12.5,7.6,18.7
"	2018-10-25",13.8,7,21.2
"	2018-10-26",12.2,9.9,14.7
"	2018-10-27",8.7,6.2,11.6
"	2018-10-28",8.3,5.2,13.5
"	2018-10-29",7.2,3.4,11.7
"	2018-10-30",6.1,0.7,11.6
"	2018-10-31",7.4,3,12.6
"	2018-11-01",8.4,2.5,15.2
"	2018-11-02",10.6,4,19
"	2018-11-03",11.2,5,19.1
"	2018-11-04",11.6,5.3,19.4
"	2018-11-05",11.9,6.6,18.3
"	2018-11-06",12.2,8,17.5
"	2018-11-07",12.8,10.3,15.7
"	2018-11-08",11.8,10.5,14.7
"	2018-11-09",12.1,9.5,15.4
"	2018-11-10",11.9,8.8,17.1
"	2018-11-11",8.1,5.4,10.9
"	2018-11-12",8.1,3.1,15.1
"	2018-11-13",8.8,4.1,15.4
"	2018-11-14",9.8,4.8,16.6
"	2018-11-15",9.7,4.7,16.2
"	2018-11-16",8.8,4.2,14.5
"	2018-11-17",4.9,0.6,11.4
"	2018-11-18",6.1,1.9,10.7
"	2018-11-19",6.5,3.3,11.3
"	2018-11-20",6.5,0,12.7
"	2018-11-21",5.8,3.1,8.2
"	2018-11-22",2.3,-1.3,7.1
"	2018-11-23",1.9,-3.1,7.6
"	2018-11-24",2.6,0.3,3.8
"	2018-11-25",4.8,1.3,9.8
"	2018-11-26",6.3,1.6,13.6
"	2018-11-27",7.1,3.1,12.5
"	2018-11-28",5,2.1,11.1
"	2018-11-29",3.5,0.6,6.7
"	2018-11-30",2.7,-1.5,8
