Date,Avg,Low,High
"	2017-09-01",23.3,17.1,29.7
"	2017-09-02",23.8,18.6,29.6
"	2017-09-03",23.7,19,29.2
"	2017-09-04",24.6,19.7,30.1
"	2017-09-05",21.9,20.4,23.7
"	2017-09-06",20.6,18.5,24
"	2017-09-07",22.4,17.8,27.5
"	2017-09-08",24.3,20.4,29.9
"	2017-09-09",23.8,19.2,28.2
"	2017-09-10",23,19.9,26.1
"	2017-09-11",21.2,18.6,24.6
"	2017-09-12",22.1,17.7,27.9
"	2017-09-13",21.4,15.9,27.5
"	2017-09-14",22.4,14.8,29.5
"	2017-09-15",22.6,17.8,27.9
"	2017-09-16",22,16.7,27.6
"	2017-09-17",23.1,19,29.2
"	2017-09-18",21.9,16.4,27.6
"	2017-09-19",22.6,20.1,25.8
"	2017-09-20",19.5,14.1,24.9
"	2017-09-21",20.3,14.2,27
"	2017-09-22",20.6,15.4,26.8
"	2017-09-23",21.8,17.6,27.3
"	2017-09-24",22.4,18.8,27.9
"	2017-09-25",23.4,17.4,30.1
"	2017-09-26",25.1,19.4,31.4
"	2017-09-27",22.7,19.9,27.3
"	2017-09-28",19.2,14.2,25.3
"	2017-09-29",17.4,11.2,23.5
"	2017-09-30",20,14.7,25.9
"	2017-10-01",18.2,15.5,21.2
"	2017-10-02",22,15.6,29.4
"	2017-10-03",17.6,13.4,23.6
"	2017-10-04",16.7,10.7,24.3
"	2017-10-05",18.7,13.9,23.4
"	2017-10-06",18.9,16.2,23.3
"	2017-10-07",21.9,16.9,28.8
"	2017-10-08",23,19.3,28.7
"	2017-10-09",22.5,19.8,27.6
"	2017-10-10",21.4,18.6,24.8
"	2017-10-11",15.5,12.2,21.7
"	2017-10-12",11.4,8.8,
"	2017-10-13",12.8,6.1,18.9
"	2017-10-14",14.4,9,20.5
"	2017-10-15",15.8,9,23
"	2017-10-16",16.6,13.6,22
"	2017-10-17",16.2,9.2,23.9
"	2017-10-18",16.5,14.2,19.1
"	2017-10-19",17,11.9,23.2
"	2017-10-20",17,11.1,24.2
"	2017-10-21",17.6,11,25.2
"	2017-10-22",16.3,11,23.5
"	2017-10-23",13.7,8.6,20.6
"	2017-10-24",14.4,9.9,20.9
"	2017-10-25",14.4,9.5,20.6
"	2017-10-26",14.5,10.7,18.1
"	2017-10-27",16.9,11.9,24.2
"	2017-10-28",17.2,10.6,24.8
"	2017-10-29",11.5,6.3,17.2
"	2017-10-30",7.7,2.5,13.2
"	2017-10-31",10.4,3.6,16
"	2017-11-01",14.4,11.5,18.1
"	2017-11-02",15.5,14,18
"	2017-11-03",12.3,6.1,16.6
"	2017-11-04",7.8,4.5,13.7
"	2017-11-05",8.4,2.6,15.4
"	2017-11-06",11.4,8,16.5
"	2017-11-07",14.4,9.2,18.4
"	2017-11-08",13.1,6.9,17.2
"	2017-11-09",9.4,3.7,16.8
"	2017-11-10",9.8,5.3,15.9
"	2017-11-11",5.9,2.7,10.7
"	2017-11-12",5.3,0.3,11.4
"	2017-11-13",8.4,3.1,11.8
"	2017-11-14",7.5,2.9,11.4
"	2017-11-15",3.2,-1.1,6.5
"	2017-11-16",1,-3.4,6.4
"	2017-11-17",3,-1.6,5.8
"	2017-11-18",-2.1,-4.8,2.6
"	2017-11-19",-1.6,-6.6,3.5
"	2017-11-20",-0.4,-3.9,4.2
"	2017-11-21",1.3,-4.2,8.1
"	2017-11-22",4.3,0.6,10.8
"	2017-11-23",0.9,-2.5,4.7
"	2017-11-24",-0.4,-2.5,2.9
"	2017-11-25",3,-3.3,7.3
"	2017-11-26",3.3,-0.3,7.6
"	2017-11-27",2.5,-2.9,9.5
"	2017-11-28",6.4,1.3,11.2
"	2017-11-29",3.2,-1.8,8.1
"	2017-11-30",-2.4,-5.2,2.7
