Date,Avg,Low,High
"	2019-09-01",23.7,19.2,27.8
"	2019-09-02",24.4,19.4,29.7
"	2019-09-03",24.1,22,28
"	2019-09-04",22.8,21.2,25.5
"	2019-09-05",23,21.5,27.6
"	2019-09-06",25.3,21.6,29.1
"	2019-09-07",25.7,22.6,29.5
"	2019-09-08",24.7,22.9,27.3
"	2019-09-09",25.1,22.4,28
"	2019-09-10",23.8,22.1,26.5
"	2019-09-11",24.3,20.4,28.7
"	2019-09-12",21,18.7,22.9
"	2019-09-13",23.3,18.3,29.3
"	2019-09-14",22.4,20.8,24.1
"	2019-09-15",24.2,19.5,30
"	2019-09-16",24.5,20.7,30.5
"	2019-09-17",23.5,18,29
"	2019-09-18",21,16,25.4
"	2019-09-19",19.5,13.6,26
"	2019-09-20",19.6,15.8,24.2
"	2019-09-21",19.6,18.3,22.1
"	2019-09-22",18.6,17.3,19.6
"	2019-09-23",20,16.9,24.6
"	2019-09-24",19.8,13.9,26.5
"	2019-09-25",20.9,14.8,27.4
"	2019-09-26",22.9,17.7,29
"	2019-09-27",22.9,19.6,27
"	2019-09-28",23.7,19.4,29.2
"	2019-09-29",22.6,17.9,28.6
"	2019-09-30",22.4,16.4,29.9
"	2019-10-01",23.1,17.6,28.2
"	2019-10-02",21.6,20,24.2
"	2019-10-03",22.4,19.8,27.3
"	2019-10-04",22.4,18,27.8
"	2019-10-05",18.7,14.7,21.9
"	2019-10-06",18.1,13.2,22.7
"	2019-10-07",14.8,13.3,17.9
"	2019-10-08",14.7,10.6,19.8
"	2019-10-09",13.6,7.7,20.4
"	2019-10-10",15.2,10.7,19.8
"	2019-10-11",18.8,13,26.1
"	2019-10-12",17.9,13.3,23.3
"	2019-10-13",17.2,12.1,23.8
"	2019-10-14",14.4,9.5,19.6
"	2019-10-15",14.5,8.8,20.4
"	2019-10-16",14.6,9,20.8
"	2019-10-17",15.4,11.2,21.6
"	2019-10-18",17,12,22.7
"	2019-10-19",17,12.1,23.1
"	2019-10-20",16.5,12,22.9
"	2019-10-21",17.1,10.9,24.6
"	2019-10-22",18.1,13.3,24.4
"	2019-10-23",17,14.3,20.7
"	2019-10-24",18.3,15.3,23.8
"	2019-10-25",16.7,13.1,22
"	2019-10-26",10,6.6,14.9
"	2019-10-27",11,4.7,17.4
"	2019-10-28",12.9,7.4,17.7
"	2019-10-29",12.5,8.2,17.6
"	2019-10-30",11.2,5,17.7
"	2019-10-31",14.8,8.4,19.7
"	2019-11-01",14.9,11.4,20.5
"	2019-11-02",13.6,8.3,18.7
"	2019-11-03",14.7,9.4,22.1
"	2019-11-04",13.8,9.2,20.3
"	2019-11-05",12.4,8.4,18.4
"	2019-11-06",11,6.3,16.5
"	2019-11-07",9.2,5,13.6
"	2019-11-08",6.8,1.1,13
"	2019-11-09",9.5,3.5,17.2
"	2019-11-10",10,6.2,15.3
"	2019-11-11",11.2,7.9,15.1
"	2019-11-12",9.3,4.8,14.5
"	2019-11-13",7.2,3,11.3
"	2019-11-14",1.3,-2.5,5
"	2019-11-15",5.6,1.4,7.6
"	2019-11-16",6.8,3.8,12.7
"	2019-11-17",8.3,5.6,10.5
"	2019-11-18",4.6,0.4,12.7
"	2019-11-19",0.2,-3.5,4
"	2019-11-20",0.5,-4.6,6.3
"	2019-11-21",4.2,-2.3,9
"	2019-11-22",9.7,3,17.3
"	2019-11-23",12.1,7.7,17.7
"	2019-11-24",9.8,4.6,15.6
"	2019-11-25",1.9,-1.2,6
"	2019-11-26",6.6,1.2,13.7
"	2019-11-27",3.1,0.3,6.8
"	2019-11-28",3.5,-0.6,10.4
"	2019-11-29",1.5,-3.4,6.9
"	2019-11-30",4.1,-1.4,9.3
