Date,Avg,Low,High
"	2015-09-01",25.9,22.6,30.7
"	2015-09-02",23.9,22,27.7
"	2015-09-03",23.9,19.8,28.2
"	2015-09-04",24.8,20.6,30.7
"	2015-09-05",21.9,19.4,23.6
"	2015-09-06",22.2,19.3,26.2
"	2015-09-07",22.6,16.8,28.7
"	2015-09-08",22.7,16.2,28.9
"	2015-09-09",22.4,15.3,30.1
"	2015-09-10",22.4,17,28.4
"	2015-09-11",21,16.8,24.4
"	2015-09-12",19.2,15.5,24
"	2015-09-13",20.2,15.2,26
"	2015-09-14",22.1,16.4,27.8
"	2015-09-15",22.8,17.4,28.7
"	2015-09-16",21.6,16,26.7
"	2015-09-17",21.4,15.5,27.6
"	2015-09-18",21.9,15.9,29.2
"	2015-09-19",22.3,17,29
"	2015-09-20",22.1,17.9,28.3
"	2015-09-21",22.6,16.5,29.4
"	2015-09-22",23.9,18,31
"	2015-09-23",22,19,26.1
"	2015-09-24",23.4,17.5,30.6
"	2015-09-25",23.4,19,29.8
"	2015-09-26",22.4,17.9,28
"	2015-09-27",21.9,14.2,29.8
"	2015-09-28",21.4,15.5,28.3
"	2015-09-29",22.1,15.9,28.2
"	2015-09-30",21.3,19.4,26.2
"	2015-10-01",16.3,10.7,19.7
"	2015-10-02",16.5,8.6,21.5
"	2015-10-03",19.2,13.3,24.5
"	2015-10-04",16.6,11.2,22.4
"	2015-10-05",18,11,25.6
"	2015-10-06",18.7,12.1,26.3
"	2015-10-07",19.6,14.1,25.7
"	2015-10-08",20.1,15.7,26.4
"	2015-10-09",16.2,12.8,20.5
"	2015-10-10",12.8,10.4,17.2
"	2015-10-11",10.8,8.1,14.4
"	2015-10-12",12.3,8.2,17.9
"	2015-10-13",15,7.8,21.3
"	2015-10-14",17.1,10.9,24.5
"	2015-10-15",17.9,12.1,26.1
"	2015-10-16",17.5,13.2,24.2
"	2015-10-17",18.7,12.4,26.6
"	2015-10-18",17.9,12.4,24.2
"	2015-10-19",18.1,13.6,23.9
"	2015-10-20",18.8,15.4,25.1
"	2015-10-21",17.9,13.9,22.7
"	2015-10-22",17.5,14.5,23.1
"	2015-10-23",17.5,15.2,21.4
"	2015-10-24",16.9,13.2,22
"	2015-10-25",16.3,12.1,22.8
"	2015-10-26",15,12,18.7
"	2015-10-27",12.1,7.7,15.9
"	2015-10-28",9.9,5.6,15.8
"	2015-10-29",8.4,3.2,14.7
"	2015-10-30",5.4,1.7,10.4
"	2015-10-31",5.7,1.1,12.3
"	2015-11-01",7,1.3,12.6
"	2015-11-02",10.8,6.1,15.2
"	2015-11-03",11.8,6.6,18.7
"	2015-11-04",12.2,5.8,19.8
"	2015-11-05",13.2,8.6,19.2
"	2015-11-06",13.5,9.6,19.2
"	2015-11-07",10.5,9.3,11.7
"	2015-11-08",11.1,10.3,11.8
"	2015-11-09",10.8,9.8,12.1
"	2015-11-10",10,7.7,13.5
"	2015-11-11",11.6,6.6,17.7
"	2015-11-12",14.5,10.2,21
"	2015-11-13",11.5,10.5,13.1
"	2015-11-14",12.8,11,14.2
"	2015-11-15",13.4,10.6,17.2
"	2015-11-16",12.2,10.7,14
"	2015-11-17",13.9,11,19.3
"	2015-11-18",10.4,8.4,12.6
"	2015-11-19",8.9,6.7,10.8
"	2015-11-20",9.8,7.1,14.4
"	2015-11-21",9.2,5,15.4
"	2015-11-22",10.2,5.9,15.7
"	2015-11-23",8.5,6.5,11
"	2015-11-24",5.6,2.7,8.8
"	2015-11-25",2.4,0.9,5.3
"	2015-11-26",-2.7,-4.8,0.9
"	2015-11-27",-2.8,-7.3,2
"	2015-11-28",0.1,-2.7,2.6
"	2015-11-29",2.5,1,3.9
"	2015-11-30",4.1,0.9,8.5
