Date,Avg,Low,High
"	2022-09-01",24,18.3,30.4
"	2022-09-02",24.7,20.3,29.8
"	2022-09-03",24.2,20.5,29.2
"	2022-09-04",22.3,19.8,24
"	2022-09-05",19.2,17.7,22.7
"	2022-09-06",21,17,26.3
"	2022-09-07",22.8,17.9,28.1
"	2022-09-08",23.2,16.7,29.5
"	2022-09-09",24.3,18.9,30.8
"	2022-09-10",23.6,19,28.4
"	2022-09-11",23.3,20.6,26.4
"	2022-09-12",23.8,20.3,27.5
"	2022-09-13",24.3,21.8,26.4
"	2022-09-14",24.6,22.7,27.9
"	2022-09-15",25.2,22,28.3
"	2022-09-16",25.7,23.4,29.9
"	2022-09-17",25.6,23.3,29.4
"	2022-09-18",27.1,23,32.5
"	2022-09-19",24.6,19.5,29.6
"	2022-09-20",19.9,16.1,24.6
"	2022-09-21",19.4,13,25.6
"	2022-09-22",19.8,14.2,24.7
"	2022-09-23",17.5,14.7,22.2
"	2022-09-24",18.5,12.3,24.2
"	2022-09-25",19.6,15.4,25.2
"	2022-09-26",20,14.8,25.4
"	2022-09-27",20.9,14,28
"	2022-09-28",20.4,16.1,26.1
"	2022-09-29",20.4,16.4,26.5
"	2022-09-30",20.7,14.8,27.7
"	2022-10-01",20.9,14.4,27.6
"	2022-10-02",19.4,17.2,21.6
"	2022-10-03",21.4,17.5,23.4
"	2022-10-04",17.9,14.2,23
"	2022-10-05",16.6,14.1,21.6
"	2022-10-06",15.8,12.7,19.1
"	2022-10-07",14.3,11,18.6
"	2022-10-08",15.8,11.1,21.6
"	2022-10-09",13.1,10.7,14.5
"	2022-10-10",9.9,8.2,11.9
"	2022-10-11",11.1,7.4,16.4
"	2022-10-12",13.5,6.5,20.6
"	2022-10-13",16.3,10.7,22.7
"	2022-10-14",17.1,12.4,23
"	2022-10-15",18.2,12.6,24.4
"	2022-10-16",16.9,15.1,20.5
"	2022-10-17",11.2,7.4,15.1
"	2022-10-18",9.4,5,14.2
"	2022-10-19",10.5,4.4,16.8
"	2022-10-20",12.9,6,19.7
"	2022-10-21",14,8.8,20.9
"	2022-10-22",15.1,10.5,20.8
"	2022-10-23",14,10.4,18.6
"	2022-10-24",10.6,7.5,14.8
"	2022-10-25",11.3,5.9,17.6
"	2022-10-26",12.9,8,17.8
"	2022-10-27",13.2,8.6,18.9
"	2022-10-28",13.6,8.2,20.6
"	2022-10-29",14.8,10.2,21.3
"	2022-10-30",14.9,10.4,21.3
"	2022-10-31",14.9,11.2,21.1
"	2022-11-01",13.1,9.4,17.8
"	2022-11-02",11.1,5.5,17.9
"	2022-11-03",9.3,5.6,13.4
"	2022-11-04",4.9,1.6,9.8
"	2022-11-05",6.5,0.8,13.6
"	2022-11-06",9.6,3.7,16.4
"	2022-11-07",11.4,6.1,16.6
"	2022-11-08",12.9,9.7,17.9
"	2022-11-09",11.4,6.7,16
"	2022-11-10",13.5,8.8,19.1
"	2022-11-11",15.6,10.9,22.1
"	2022-11-12",16.3,11.6,22
"	2022-11-13",10.3,8.7,17.3
"	2022-11-14",9.7,5.9,13.8
"	2022-11-15",8.1,4,12.3
"	2022-11-16",8.5,5.5,13
"	2022-11-17",10.2,5.4,16.6
"	2022-11-18",11,5.3,18.1
"	2022-11-19",12.9,8.7,19.2
"	2022-11-20",13.7,9.5,20.2
"	2022-11-21",11.8,9.3,16.2
"	2022-11-22",10.7,7,13.7
"	2022-11-23",10.8,6.8,15.2
"	2022-11-24",9.4,5.9,14.1
"	2022-11-25",12.3,7.1,17.8
"	2022-11-26",6.7,1,12.9
"	2022-11-27",5.4,-1.1,11.5
"	2022-11-28",12.3,7.5,15
"	2022-11-29",6.9,-1.6,15
"	2022-11-30",-5.4,-8.1,-1.6
