Date,Avg,Low,High
"	2013-09-01",23.5,19.8,28.2
"	2013-09-02",22.4,17.3,26.9
"	2013-09-03",21.7,16.4,26.8
"	2013-09-04",22,16.4,27.5
"	2013-09-05",21.2,17.9,24.1
"	2013-09-06",20.8,19,23.1
"	2013-09-07",21.9,17.9,26.9
"	2013-09-08",22.9,18.4,27.9
"	2013-09-09",23,19.8,26.5
"	2013-09-10",22,19.1,25.2
"	2013-09-11",20.1,19.1,20.9
"	2013-09-12",23,20.3,26.3
"	2013-09-13",22.9,20.9,25.2
"	2013-09-14",23.1,21.5,25.3
"	2013-09-15",23.4,20.3,28.2
"	2013-09-16",20.9,15.2,27
"	2013-09-17",22.6,17,29.3
"	2013-09-18",24.4,17.5,31.1
"	2013-09-19",24.7,20.5,30.2
"	2013-09-20",23.4,20.1,28
"	2013-09-21",23.8,19.9,27.8
"	2013-09-22",23.1,20.4,27.2
"	2013-09-23",23.8,18.6,29
"	2013-09-24",22,20,23.9
"	2013-09-25",19.5,15.3,24.2
"	2013-09-26",17.3,12.7,22.5
"	2013-09-27",17.9,10.9,24
"	2013-09-28",17.4,15.2,19.9
"	2013-09-29",17.2,14.7,19.7
"	2013-09-30",20.7,18,25.5
"	2013-10-01",21.6,17.2,27.2
"	2013-10-02",19.4,15,22.8
"	2013-10-03",16.3,11,21.3
"	2013-10-04",17.4,10.7,25.1
"	2013-10-05",20,12.6,28.1
"	2013-10-06",20.8,15.4,25.7
"	2013-10-07",22.8,19.8,26.9
"	2013-10-08",20,18,21.8
"	2013-10-09",20.5,15.5,26.4
"	2013-10-10",21.1,15.9,26.4
"	2013-10-11",18.1,14.1,20.7
"	2013-10-12",16.4,11,21.5
"	2013-10-13",17.3,12.2,23.4
"	2013-10-14",18.3,13.3,24.4
"	2013-10-15",12,7.7,17.4
"	2013-10-16",11.2,6.1,16.8
"	2013-10-17",12.4,6.8,18.9
"	2013-10-18",13.6,8.1,20.2
"	2013-10-19",14.6,9.8,19.5
"	2013-10-20",16.7,11.7,22.9
"	2013-10-21",16.2,12,22.2
"	2013-10-22",15.9,11.3,21.7
"	2013-10-23",16.2,12.2,22.1
"	2013-10-24",13.1,7.8,18.5
"	2013-10-25",9.3,5.3,14.5
"	2013-10-26",10,4.3,15.7
"	2013-10-27",11.4,5.1,18
"	2013-10-28",11.6,6.7,16.7
"	2013-10-29",12.7,9.5,16.5
"	2013-10-30",10.5,6.4,16.2
"	2013-10-31",11.7,5.5,18.8
"	2013-11-01",14.8,8.6,20.7
"	2013-11-02",11.6,8.6,14.9
"	2013-11-03",11.9,7.8,16.7
"	2013-11-04",12.6,9.2,17.6
"	2013-11-05",12.3,7.5,18.5
"	2013-11-06",12.2,9,15.9
"	2013-11-07",12.2,7.5,15.8
"	2013-11-08",9,4,14.5
"	2013-11-09",11.6,9.2,15.5
"	2013-11-10",5.5,2.1,10.4
"	2013-11-11",2.6,-1.4,7.5
"	2013-11-12",3.4,-1.1,8.5
"	2013-11-13",4.8,-0.9,11.4
"	2013-11-14",6.7,3.1,9.9
"	2013-11-15",8.2,5.8,12.4
"	2013-11-16",7,2.4,12
"	2013-11-17",5.2,2.2,7.6
"	2013-11-18",1.1,-1.5,4.2
"	2013-11-19",1.1,-1.7,3.8
"	2013-11-20",1.5,-1.9,5.9
"	2013-11-21",2.6,-1.4,7.3
"	2013-11-22",4.6,-0.7,10.5
"	2013-11-23",7.1,2.2,12.5
"	2013-11-24",7.3,4.4,10.6
"	2013-11-25",4.7,-0.1,10.2
"	2013-11-26",2.1,-2.4,5.8
"	2013-11-27",0,-4.3,4.7
"	2013-11-28",-3.8,-6.4,-0.9
"	2013-11-29",-0.7,-5.4,4.8
"	2013-11-30",5.3,-1.1,10.6
