Date,Avg,Low,High
"	2023-09-01",24.5,19.7,29.6
"	2023-09-02",25.4,19.7,30.8
"	2023-09-03",25.8,23.1,28.8
"	2023-09-04",27,24.3,30.2
"	2023-09-05",28.5,25,32.8
"	2023-09-06",27.9,24,32.1
"	2023-09-07",26.3,20.9,31.6
"	2023-09-08",25.3,19.6,30.5
"	2023-09-09",25.8,20.8,31.2
"	2023-09-10",25.7,22,29.6
"	2023-09-11",25.5,23.1,29.8
"	2023-09-12",25.7,21.7,29.8
"	2023-09-13",22.1,19.6,24.6
"	2023-09-14",23.4,19.2,27.2
"	2023-09-15",22.3,20.3,24.3
"	2023-09-16",23.9,22,26.6
"	2023-09-17",24.7,22,28
"	2023-09-18",24.7,22.1,28.9
"	2023-09-19",24.1,21.6,27.2
"	2023-09-20",20.6,18.8,23.9
"	2023-09-21",20.1,17.5,23.6
"	2023-09-22",20.5,15.2,26.7
"	2023-09-23",21.8,16.3,27.6
"	2023-09-24",21.8,17.9,26.2
"	2023-09-25",21.6,17.9,26
"	2023-09-26",19.9,18.6,20.8
"	2023-09-27",21.5,20,23.7
"	2023-09-28",22.7,19.6,27.3
"	2023-09-29",21.1,17.4,26.9
"	2023-09-30",19.7,17.1,22.2
"	2023-10-01",18.4,14.4,23.7
"	2023-10-02",18.2,12.9,24.6
"	2023-10-03",17.5,14.4,22.5
"	2023-10-04",17.3,14.2,23.2
"	2023-10-05",14.2,9.9,19.2
"	2023-10-06",15.5,9.6,21.5
"	2023-10-07",16.8,11.7,21.2
"	2023-10-08",17.1,15.2,19.5
"	2023-10-09",17.4,14.1,22.4
"	2023-10-10",17.1,11.9,23.5
"	2023-10-11",17.6,12.9,24
"	2023-10-12",17.5,12,24.1
"	2023-10-13",17.5,14.3,21.5
"	2023-10-14",14.7,12.9,18.2
"	2023-10-15",16.1,10.9,21.2
"	2023-10-16",14.7,10.7,19.6
"	2023-10-17",13.8,7.5,20.9
"	2023-10-18",15.7,9.2,21.6
"	2023-10-19",17,14.9,18.9
"	2023-10-20",11.6,7.2,15.1
"	2023-10-21",10.4,5.9,16.6
"	2023-10-22",12.5,5.4,18.7
"	2023-10-23",15.2,11.1,21.4
"	2023-10-24",15.6,11.2,19.3
"	2023-10-25",16.6,12.7,21.9
"	2023-10-26",17.2,14.6,21.1
"	2023-10-27",15.7,12.6,20.2
"	2023-10-28",14.2,9.4,20.7
"	2023-10-29",14.9,9.8,21.8
"	2023-10-30",15.1,9.7,21.9
"	2023-10-31",16.5,12.7,20.8
"	2023-11-01",19,17.2,20.6
"	2023-11-02",20.8,18.7,25.9
"	2023-11-03",19.5,17.7,22.4
"	2023-11-04",17.4,14.1,20.9
"	2023-11-05",17.3,15.1,20.4
"	2023-11-06",13.3,6.6,19.3
"	2023-11-07",5.8,3.6,9.9
"	2023-11-08",8.4,1.8,16.1
"	2023-11-09",11.4,5.9,18.4
"	2023-11-10",3.4,0.5,9.1
"	2023-11-11",1.7,-1.9,6.7
"	2023-11-12",1.2,-2,5.7
"	2023-11-13",2,-2.2,6.7
"	2023-11-14",5,-0.8,10.8
"	2023-11-15",7,2,12.5
"	2023-11-16",6.6,5.7,7.4
"	2023-11-17",1.6,-1.9,5.9
"	2023-11-18",0.6,-3.8,5.7
"	2023-11-19",5.9,-0.3,13.4
"	2023-11-20",6.2,1.8,12.8
"	2023-11-21",7.4,1.4,14.8
"	2023-11-22",9.5,2.9,15.1
"	2023-11-23",9.9,1.9,14.6
"	2023-11-24",-1.5,-4.4,2.2
"	2023-11-25",-1.3,-5.9,4
"	2023-11-26",4,-0.1,7.2
"	2023-11-27",6.2,4.4,9.3
"	2023-11-28",1.3,-1.2,5.2
"	2023-11-29",-1.4,-4,3
"	2023-11-30",-4.3,-7.3,-0.5
